id	tekst
paevaleht19910501.2.1	<p>Päevaleht</p><p>""""Päewaleht"""" ilmus 1905—1940. """"Päevaleht” ilmub 1. veebruarist 1990 Kolmapäev 1. mai 1991</p><p>Nr. 100(376) Hind 27 kop.</p>
paevaleht19910501.2.2	<p>Vähemalt 22 armeenlast lintšitud Getašenis</p><p>Pärast 9 päeva kestnud vastupanu hõivas Aserbaidžaani OMON eile Aserbaidžaani territooriumil asuva armeenia küla Getašcni, teatab Baltic News Service (BNS). Armeenia Üldrahvaliku Liikumise infokeskus teatas, et Gctašcnist raadio teel saabunud teatel oli vallutamise järel alanud pogrommi käigus tapetud eile juba vähemalt 22 inimest. Samas ci ole külast naaberküladesse tulnud ühtegi põgenikku ning kardetakse, et ohvrite arv võib olla hoopis suurem. Armccnia-Aserbaidžaani konflikt on viimase nädala jooksul äärmuseni teravnenud, iga päev tulistatakse teineteise linnu ja külasid. 3000 elanikuga Getaseni asusid aserid piirama 9 päeva tagasi, mil külast viidi välja N. armee siseväed. Külaelanikke asusid kaitsma armeenia fedaiinid, keda aserite OMON ründas soomustehnika toetusel.</p>
paevaleht19910501.2.3	<p>Viis Põhja-Gruusia rajooni kuulutati loodusõnnetuse piirkonnaks</p><p>Viis Põhja-Gruusia rajooni, mis said esmaspäeval maavärina tagajärjel eriti kannatada, on kuulutatud loodusõnnetuse piirkonnaks. Eilsetel andmetel purunes seal 85 protsenti elamutest ja majandushoonetest, teatab Sakinform ETA vahendusel. Reuter teatab Gruusia välisministeeriumile viidates, et maavärina tagajärjel hukkus üle saja ja sai vigastada üle 250 inimese.</p>
paevaleht19910501.2.4	<p>Landsbergis lükkas edasi visiidi Saksamaale</p><p>Leedu ülemnõukogu esimees Vytautas Landsbergis lükkas edasi 1.—3. maile kavandatud visiidi Saksamaale, ütles eile hommikul toimunud briifingul Leedu ülemnõukogu pressisekretär Audrius Ažubalis. Leedu liider põhjendas oma otsust äreva olukorraga riigis. Ažubalisc sõnul tekitab lecdulastcs rahutust see, et N. Liidu juhtkond ja Balli sõjaväeringkonna komandörid väldivad kontakte Leedu juhtkonnaga. Leedu UN prcssišcfi sõnul on olukord sarnane jaanuari alguses valitsenuga.</p>
paevaleht19910501.2.5	<p>Riias kohtusid Balti välisministrid</p><p>Läti, Leedu ja Eesti välisministrid pidasid eile Riias ühise töökonverentsi, mille eesmärk oli kujundada Baltikumi ühtne välispoliitiline kurss enne Euroopa julgeoleku- ja koostöönöupidamisl Berliinis, teatab """"Baltija"""" ETA vahendusel. Ministrid jõudsid järeldusele, et vabariikide iseseisvusdeklaratsioonide erinevusest olenemata on rahvusvahelisel foorumil edu võimalik saavutada üksnes Läti, Leedu ja Eesti koordineeritud jõupingutuste korral. Arutades Baltikumi esindatust nõupidamisel, analüüsisid nad kavandatu saavutamise võimalikke teid nii Lääne kui ka Ida suunal. """"Baltija"""" - ETA telefoto</p>
paevaleht19910501.2.6	<p>Ühe eksituse anatoomia</p><p>•Selgitab minister Jaak Tamm*</p><p>Eile kutsus tööstus- ja energeetikaminister Jaak Tamm ajakirjanikud briifingule, et jagada täiendavaid selgitusi ETA kirjutise kohta """"Ministrite arvates pakkusid Eestile superlaenu petised"""". 25. aprilli päevalehtedes ilmunud materjalis on öeldud, et ministrid Miller ja Lippmaa andsid peaministrile üle kirja, milles nad peavad märtsis Eestis viibinud USA suurärimehe Nicholsi poolt Eestile pakutud 10 miljardi suurust laenu Eestile kahjulikuks. Jaak Tamm toonitas, cl firma IBClnvestment Group võib anda asja kohtusse, sest esitatud materjalis on faktivigu, mis kahjustavad firma mainet ja loetletud isikuid. Minister selgitas küsimusi laiemalt. Asjaolude õnnetul kokkusattumisel ei olnud märtsis, kui firma esindus Tallinna saabus parasjagu kohal ci valitsuse esimeest ega majandusministrit. Lõpuks sai asjaolude selgitamise enda ülesandeks rahandusminister. Uurimist vajasid meile pakutud summade päritolu ja allikad. Firma oli nõus selgitusi jagama, kuid seadis tingimuseks, et Eesli pool ci keelduks vahendustasu maksmisest ega hakkaks infot ise vahendama. Asi jäi alla kirjutamata ja garantiid andmata. Nüüd oleme olukorras, kus meil on palju küsimusi ja kahtlusi, kuid inimesed, kellelt saaks vastuse, soovivad tagatist, et käitume selle infoga korrektselt. Kuna seda ci tehtud, vaidleme omavahel, kas pakkumine võib olla aus või mitte. Minister Tamme sõnul oleks Eestile ülitähtis jõuda arusaamiseni tegelikust olukorrast, seni aga mitte tekitada kirgi, ažiotaaži ega kahtlusi. Paraku on n.-ö. tööprojektid leidnud võimenduse ajakirjanduses. Eestile on välisinvesteeringule saamine ülioluline. Meie tööstus tarbib praegu kolm korda rohkem importtoorainet, kui ekspordime. Selle põhjuseks on olnud Liidu majanduspoliitika. Kui aga Eesti ci jõua valuuta isetasuvuseni, langeb meie tööstustoodangu maht tunduvalt.Ka põllumajanduses on valuuta osa</p><p>märkimisväärne (vili, väetised, taimekaitsevahendid). Kui mc selleski vallas ci leia lahendusi, võime jääda enese toitmisel hätta. Niisiis aitaksid Lääne investeeringud meie majandusel kiiremini jalule lõusta. Sellepärast peaksime kõiki ettepanekuid väga tõsiselt uurima. Uppuja haarab õlekõrrest ja mõni neist ehk kannab ka, toonitas Jaak Tamm. Ta kõneles, et sügisel Ameerikas käies tekkis Eesti delegatsioonil kontakt USA firmaga/n--ternalional Business Corporation, kes oli nõus vahendama Eeslile eelpool mainitud laenusummal. Firma president Nichols on käinud Eestis juba mitmel aastal, uurinud siinset olukorda ja leidnud, et meiega võib teha kaubanduskoostööd. Firma on pakkunud võimalust müüa Eesti kaupu Läänes maailmaturu hindadega. Pole õige väita, et firma lekkis alles tänavu jaanuaris, seega pärast Nicholsi kohtumist USA-s viibinud Eesli delegatsiooniga. Jaanuaris toimus vaid ühinemine firmaga Investment Group. Selline ühinemine fikseeritakse alati. Jaak Tammel oli ette näidata paber IBC viimase kümne aasta tegevuse kohta ehitamise alal. Firma ajalugu ulatub eelmisse sajandisse.</p><p>JBC mõistab, et meie tehnoloogiline tase ci võimalda rohkem toota Läänes m inevaid kaupu. Seega on tööstuse arenguks vaja investeeringuid. Sellega seoses tegi pakkumise firma Crystal Connection, kes oleks laenu andnud. See firma esindab teatud finantsühistut, kelle käsutuses on 20 miljardit dollarit. Kuidagi läks liikvele väide, et see ongi laen, mida pakutakse Eesti Vabariigile. Laenu antakse siiski vaid konkreetsetele projektidele. Seejuures peavad need saama rahvusvahelise garantii ja garandiiks peab hakkama üks maailma saja tugevama panga hulgast. Järelikult tehakse iga projekti puhul korralik analüüs. Ja kindlasti oleks kaasnenud ka | siinsele finantsallikate kontroll. Siis polekski palju objekte, mille arendamiseks Eesli võiks laenu küsida, oleme nii kehvas seisus. Maksimaalselt oleks summa olnud ehk kaks miljardit dollarit. Mõistagi tekkisid Eesli poolel küsimused, kes on raha omanikud, sest siin puudus selle kohta informatsioon. Maailmas liigub ka illegaalseid summasid, mis otsivad võimalust, kuidas end n.-ö. puhtaks pesta. Esimese asjana oleks pidanud uurima raha ai likaid ja päritolu. Kahjuks seda senini piisava põhjalikkusega tehtud ci ole. Valitsuskomisjon on piirdunud hinnangule ja arvamustega. Dokumentides, mida Jaak Tamm on näinud,rõhuutvad eksperdid vajadust kontrollida laenu pakkujat. Peaministrile saadetud kirjas on eksperdid soovitanud mitmele pankade hinnangul võlla laenu otse, mille vahendajate kaudu. Laenuprotsent on kauplemise objekt. Vahendajafirma pakkus 4%, Eesti 1 %, kuid küsimise pärast ci saa kedagi suliks tembeldada. Sama lugu on, millal maksta vahendustasu. Minister Tamme sõnul ci saa meile esitatud esialgsele dokumendile alla kirjutada. Selles on kahtlusi äratavaid kohti, kuid see oleks läbirääkimiste objekt. On juhtunud veel üks kummaline asi. Nimelt on tehtud järelepärimisi IBC ja CC finantsseisu</p><p>kohta USA-s. Algusest peale on teada, et firma CC ci tegele Ameerika turul äritehingutega kuigi suures mahus. Tehingud teistes riikides ja raha teiste riikide pankades ei anna sel juhul firmast õiget pilti, kui vaid tema Ameerika-tegevust uurida. See firma ongi omamoodi firmade liit ja paikneb paljudes riikides. Uurida tuleks ka vahendaja usaldusväärsust. Jaak Tamme sõnul pole praegu vaja asjatut kära. Valitsuskomisjon peaks lõpule viima oma ülesande selgitama välja pakutud summade päritolu ja legaalsuse. Kui rahad on õiged ja alles (maailmas on ju teisigi investeerimise kohti), sire tuleks hakata tõsiselt laenu üle läbi rääkima. Praegused tingimused ci ole Eestile vastuvõetavad. Arutlused olgu rahulikud, ka äraütlemine vajab fakte, otsust ei saa langetada uskumuste ja arvamuste pinnalt lähtudes. Jaak Tamm ci mõista, miks minister Lippmaa nii agressiivselt ja emotsionaalselt laenu pakkumise vastu sõna on võtnud ja avalikku arvamust kujundanud. Seejuures ci kuulu ta ise nimetatud valitsuskomisjoni, kellele on asjade uurimine ülesandeks tehtud. Jaak Tamme arvates peaks akadeemik teadusemehena olema harjunud täpsusega, aga praegu ci kandval faktid tema esitatud üldistusi välja. Igal inimesel on õigus oma arvamusele. Idaminister on asjatundja keemia ja diplomaatia alal, rahvusvahelistes krediitides ta nii hästi ci orienteeru. Halb on see,et ajakirjanduse kaudu esitatakse ühe inimese arvamust kui viimse instantsi tõde. Lõppudc-lö-puks on iga leping poolte kokkulepe ja pole mõtet võimendada selle üksikuid lõike. Niisugune oli tööstus- ja energeetikaministri seisukoht, aga ilmselt saame selle teema juurde veelgi tulla, sest asjaosalisi on rohkem. Nii saabub lähipäevil taas Eestisse firma International Business Corporation president härra Nichols ja siis saab mitmeid asjaolusid otse temaga täpsustada.</p><p>Reet Rihvk</p><p>• JAAK TAMM</p>
paevaleht19910501.2.7	<p>Täna, 1. mail</p><p>Paljudele on 1. mai lippude, loosungite ia õhupallidega kaunistatud mineviku üheks sl iimboliks. 1. mai oli kohustuslik paraadile minek, riigitruuduse der nonstratsioon. 1. mai oli tallinlastele pea ainuke võimalus näha Ees ti NSV """"esimesi mehi"""" 10-20 meetri kauguselt tribüünil seismas. *** Nüüd on meie ühiskond teisem ja töörahva rahvusvahelise Solidaarsuspäeva miitinj lähevad tõesti need, kes sinna minna tahavad. Nii c n loomulik. Täna hommikul ke 119.30 suletakse liiklus Tallinnas Vabaduse väljakul, miitinguliscd hakkavad kogunema ning kell 10 peaks mikrofoni juurde astuma c ,simene kõneleja. Eile oli vaid teada, et Vabaduse väljakul esineb I £V Ülemnõukogu saadik hr. Jcrmolajev. Edasi minnakse Lenini pi jiesteele Lenini mälestussamba juurde. *** Teistele on 1. m; ii aga volbripäev. Täna 1212 aastat tagasi kuulutatud pühakuks at iglosaksi naisterahvas Walpurga, sellest siis ka volbripäev. Jüri K uuskemaa kirjutas eile, et Eesti rahvakalendris on teateid, nagu 1. m ai pidavat üks kuri ja paha päev olema. Nimelt istuvat volbripäeva õhtul nõiad oma lüuuadc selga ja kihutavat Walpurgi mäele sabal iie. *** Olgu, kuidas c n, aga ilmajaam lubab, cl ilma Eestis ku /undab madalrõhuala põhjaserv. Homme on oodata vahelduva pilvis usega ilma ja paiguti väheseid sademeid. Puhub idaja kirdetuul 5-10 m/s. Sooja on 11-16, rannikul ja saartel kohati 8, Tallinnas 11-13 kraadi. 2. ja 3. mail cm jahe ilm, ajuti sajab vihma.</p>
paevaleht19910501.2.8	<p>Zakhos heisati ÜRO lipp</p><p>Iraagi põhjaosasse Zakho põgenikelaagrisse jõudis eile ÜRO rahuvalvejõudude kolonn humanitaarabiga. Laagri kõrvale heisati rahvasteorganisatsiooni lipp, millega USA sõjaväelaste rajatud põgenikelaager ÜRO kontrolli alla võeti. Infoagentuuride teadetel jätkavad liitlasvägede üksused julgcolckutsooni laiendamist ja kutsuvad kurde üles naasma kodupaikadesse. Infoagentuuride teadetel keelduvad aga paljud kurdid mägedest lahkumast, kartes Iraagi presidendi Saddam Husseini kättemaksu.</p>
paevaleht19910501.2.9	<p>Prantsusmaa ei lepi inimõiguste rikkumisega Hiinas</p><p>Pekingis visiidil viibiv Prantsusmaa välisminister Roland Dumas ütles pärast läbirääkimisi Hiina välisministri Qian Qicheniga, et Prantsusmaa ci kavatse ka tulevikus ignoreerida inimõiguste rikkumisi Hiinas. Hoolimata suhete normaliseerimisest Hiinaga jätkab Prantsusmaa juhindumist põhimõtetest, mida ta järgib rahvusvahelistes suhetes. Eile sai Dumas kokku Hiina valitsusjuhi Li Pengiga ning kavas oli ka kohtumine Hiina tegeliku juhi, kompartei keskkomitee peasekretäri Jiang Zeminiga. Homme ja ülehomme on Dumas Teheranis, 6. mail aga tuleb koos Prantsusmaa presidendi Franeois Mitterrand’iga Moskvasse.</p>
paevaleht19910501.2.10	<p>Kuzbassi kaevurid esitasid Jeltsini presidendikandidaadiks</p><p>Kuzbassi kaevurite ja muude tööstusharude esindajad on esitanud Boriss Jeltsini kandidaadiks N. Vene presidendi kohale. Kuzbassi tööliskomiteede nõukogu liikme Anatoli Malõhhini ettepanekul võeti see otsus vastu üleeile Vene föderatsiooni ülemnõukogu esimehe kohtumisel töötajatega Novokuznetski ühiskondlik—poliitilises keskuses, teatab RIA ETA vahendusel. Kandidaadi registreerimiseks on vaja 100 000 allkirja.</p>
